Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,273900334,3514.002383523998,4210729,54.021517704223136,504603,5351812,68.66103392255205,45158,0.5793542392510439,5490,
United States of America,Americas,50415400,15231.117,827506,250,156633,799326,241.486,8343,2.521,2030
India,South-East Asia,34746838,2517.879,48978,3.549,6563,477554,34.605,1918,0.139,132
Brazil,Americas,22204941,10446.463,16762,7.886,0,617395,290.458,651,0.306,0
The United Kingdom,Europe,11361391,16735.984,541872,798.209,81959,147218,216.861,779,1.148,45
Russian Federation,Europe,10241812,7018.09,195358,133.867,27022,298222,204.353,7618,5.22,1019
Turkey,Europe,9171119,10874.105,130940,155.254,16910,80415,95.347,1264,1.499,171
France,Europe,8382498,12888.347,362800,557.816,48473,118946,182.883,1030,1.584,75
Germany,Europe,6809622,8187.918,278016,334.288,16086,108352,130.283,2598,3.124,119
Iran (Islamic Republic of),Eastern Mediterranean,6170979,7347.02,16166,19.247,1968,131083,156.064,361,0.43,50
Spain,Europe,5422169,11455.461,78783,166.445,0,88667,187.327,98,0.207,0
Italy,Europe,5389155,9035.916,163638,274.369,24303,135641,227.427,810,1.358,97
Argentina,Americas,5386453,11918.046,29568,65.422,0,116899,258.65,139,0.308,0
Colombia,Americas,5105285,10033.402,13777,27.076,2016,129399,254.307,343,0.674,54
Indonesia,South-East Asia,4260677,1557.7,1428,0.522,133,144013,52.651,65,0.024,11
Poland,Europe,3968450,10454.807,128825,339.387,9610,91514,241.092,3006,7.919,29
Mexico,Americas,3932545,3050.074,13779,10.687,2530,297835,231,1127,0.874,267
Ukraine,Europe,3610687,8256.064,47522,108.662,2536,93262,213.249,2047,4.681,157
South Africa,Africa,3308074,5577.722,140577,237.026,15465,90348,152.335,211,0.356,3
Netherlands,Europe,2980003,17118.992,99949,574.169,13331,20468,117.581,357,2.051,48
